Community 1,Community 2
League of United Latin American Citizens,Asian Pacific American Institute for Congressional Studies
Black Women's Roundtable,National Hispanic Caucus of State Legislators
Women Impacting Public Policy,Asian Americans Advancing Justice
National Coalition on Black Civic Participation,National Korean American Service & Education Consortium
National Organization of Black Elected Legislative Women,National Association of Neighborhoods
U.S. Hispanic Chamber of Commerce,Japanese American Citizens League
Latinos in Information Sciences & Technology Association,National Black Chamber of Commerce
Labor Council for Latin American Advancement,Leadership Education for Asian Pacifics
Hispanic Technology & Telecommunications Partnership,International Black Broadcasters Association
"Multicultural Media, Telecom & Internet Council",U.S. Pan Asian American Chamber of Commerce
MANA - A National Latina Organization,National Urban League
National Organization of Black County Officials,National Gay & Lesbian Chamber of Commerce
National Puerto Rican Coalition,National Association of Multicultural Digital Entrepreneurs
Black College Communication Association,National Puerto Rican Chamber of Commerce
National Association of Black County Officials,Dialogue on Diversity
National Black Caucus of State Legislators,Asian Pacific American Advocates
Hispanic Leadership Fund,National Association for the Advancement of Colored People
,100 Black Men
